genera,Genera Count,Number of Contigs
Photobacterium,303,1144
Lawsonia,95,95
Candidatus,92,10419
Pseudomonas,72,29758
Streptomyces,67,39867
Bacillus,63,18989
Corynebacterium,48,9240
Mycobacterium,45,17754
Burkholderia,44,22072
Lactobacillus,44,6988
Streptococcus,40,5764
Mycoplasma,39,2291
Clostridium,36,10467
Thermococcus,28,3695
Paenibacillus,28,15885
Staphylococcus,27,4874
Vibrio,27,9478
Campylobacter,26,3074
Rhizobium,24,7487
Rickettsia,22,1966
Pseudoalteromonas,21,6614
Shewanella,21,7390
Rhodococcus,20,8109
Spiroplasma,20,1757
Acinetobacter,19,4672
Synechococcus,16,4574
Bifidobacterium,16,2475
Bordetella,16,5545
Bartonella,15,1817
Serratia,14,4923
Enterobacter,14,5142
Sphingobium,14,3981
Brucella,14,3102
Xanthomonas,13,4738
Geobacillus,13,3238
Sphingomonas,13,4084
Halomonas,12,3526
Capnocytophaga,12,2415
Arthrobacter,12,3692
Deinococcus,12,2559
Methanosarcina,11,3248
Microbacterium,11,2808
Planococcus,11,2650
Desulfovibrio,11,2949
Treponema,11,2130
Francisella,11,1486
Helicobacter,11,1389
Yersinia,11,3422
Borrelia,11,695
Methylobacterium,10,4358
Bacteroides,10,3779
Geobacter,10,3020
Psychrobacter,10,2151
Thermotoga,10,1329
Pandoraea,9,3483
Flavobacterium,9,2482
Bradyrhizobium,9,5684
Citrobacter,9,3118
Legionella,9,2224
Actinomyces,9,1660
Thermoanaerobacter,9,1541
Neisseria,9,1472
Paraburkholderia,9,4654
Enterococcus,9,1904
Marinobacter,8,2388
Chryseobacterium,8,2551
Blattabacterium,8,343
Prevotella,8,1612
Acetobacter,8,1788
Sulfurospirillum,8,1599
Leuconostoc,8,1143
Mesorhizobium,8,3625
Caldicellulosiruptor,8,1498
Pantoea,8,2422
Alteromonas,8,2599
Acidovorax,8,2529
Klebsiella,8,3143
Aeromonas,8,2612
Sphingopyxis,7,2087
Erwinia,7,2170
Altererythrobacter,7,1357
Cronobacter,7,2126
Pyrococcus,7,898
Eubacterium,7,1585
Thermus,7,1008
Hymenobacter,7,2270
Pseudonocardia,7,3097
Chlamydia,7,532
Nitrosomonas,7,1371
Nocardia,7,3826
Stenotrophomonas,7,2165
Ralstonia,7,2540
Edwardsiella,7,1966
Desulfotomaculum,6,1587
Weissella,6,759
Cupriavidus,6,2930
Chlorobium,6,994
Listeria,6,1225
Gordonia,6,2292
Haemophilus,6,834
Sinorhizobium,6,1660
Aerococcus,6,801
Methanocaldococcus,6,650
Exiguobacterium,6,1258
Methanobrevibacter,6,976
Janthinobacterium,6,2402
Dickeya,6,1968
Alcanivorax,5,1361
Elizabethkingia,5,1472
Shigella,5,1566
Anoxybacillus,5,1125
Agrobacterium,5,1843
Brachybacterium,5,1404
Brachyspira,5,1076
Herbaspirillum,5,1912
Brevundimonas,5,1201
Xenorhabdus,5,1446
Carnobacterium,5,957
Actinobacteria,5,584
Ehrlichia,5,450
Calothrix,5,3275
Azoarcus,5,1616
Hydrogenobaculum,5,533
Sphingobacterium,5,1978
Thioalkalivibrio,5,1145
Amycolatopsis,5,3038
Pyrobaculum,5,759
Frankia,5,2600
Leptospira,5,1414
Sulfolobus,5,964
Methanobacterium,5,810
Virgibacillus,5,1434
Methylomonas,4,1448
Actinoalloteichus,4,1928
Caulobacter,4,1270
Pectobacterium,4,2045
Thauera,4,1238
Pediococcus,4,506
Magnetospirillum,4,1297
Actinobacillus,4,626
Ochrobactrum,4,1304
Mannheimia,4,647
Tessaracoccus,4,968
Pedobacter,4,1685
Celeribacter,4,1105
Lactococcus,4,574
Cellulomonas,4,1118
Erythrobacter,4,829
Prosthecochloris,4,716
Maribacter,4,1284
Pelobacter,4,1059
Microviridae,4,4
Phaeobacter,4,1015
Actinoplanes,4,2614
Chlamydophila,4,323
Lysobacter,4,1694
Moraxella,4,680
Bosea,4,1591
Desulfitobacterium,4,1137
Methanococcus,4,503
Myroides,4,1226
Myxococcus,4,2766
Paracoccus,4,1002
Methanothermobacter,4,465
Colwellia,4,1720
Spirosoma,4,1855
Sporosarcina,4,1056
Rhodobacter,4,1063
Anabaena,4,1649
Polaribacter,4,1024
Rhodoferax,4,1334
Arcobacter,4,766
Archaeoglobus,4,560
Kosakonia,4,1500
Komagataeibacter,4,980
Comamonas,4,1341
Nostoc,4,2815
Pseudothermotoga,4,617
Novosphingobium,4,1037
Thermosipho,4,545
Leptolyngbya,4,1656
Delftia,4,1899
Endosymbiont,4,522
Pontibacter,3,1030
Tenacibaculum,3,757
Fervidobacterium,3,467
Photorhabdus,3,1123
Methanocella,3,543
Dokdonia,3,680
Sodalis,3,676
Dehalobacter,3,633
Escherichia,3,965
Martelella,3,964
Marinomonas,3,956
Desulfosporosinus,3,1050
Methanoculleus,3,599
Gramella,3,766
Curtobacterium,3,786
Polynucleobacter,3,414
Selenomonas,3,902
Cycloclasticus,3,497
Mesoplasma,3,141
Fusobacterium,3,623
Plasmodium,3,1520
Providencia,3,919
Collimonas,3,1130
Brevibacterium,3,762
Kocuria,3,599
Kluyveromyces,3,1508
Rhodovulum,3,863
Ruegeria,3,696
Nitrospira,3,788
Macrococcus,3,488
Nitrosospira,3,722
Rothia,3,538
