genera,Genera Count,Number of Contigs
Candidatus,91,992
Pseudomonas,72,2884
Streptomyces,67,3819
Bacillus,63,1850
Corynebacterium,48,910
Mycobacterium,45,1622
Burkholderia,44,2193
Lactobacillus,44,677
Streptococcus,40,548
Mycoplasma,39,253
Clostridium,36,1006
Photobacterium,32,124
Thermococcus,28,357
Paenibacillus,28,1577
Staphylococcus,27,418
Vibrio,27,912
Campylobacter,26,315
Rhizobium,24,755
Rickettsia,22,195
Pseudoalteromonas,21,704
Shewanella,21,693
Rhodococcus,20,767
Spiroplasma,20,172
Acinetobacter,19,470
Synechococcus,16,433
Bordetella,16,546
Bifidobacterium,16,249
Bartonella,15,159
Sphingobium,14,363
Brucella,14,285
Serratia,14,450
Enterobacter,14,497
Xanthomonas,13,423
Sphingomonas,13,386
Geobacillus,13,319
Capnocytophaga,12,221
Halomonas,12,343
Deinococcus,12,245
Arthrobacter,12,350
Desulfovibrio,11,272
Helicobacter,11,155
Yersinia,11,315
Francisella,11,154
Treponema,11,193
Planococcus,11,251
Microbacterium,11,261
Borrelia,11,65
Methanosarcina,11,320
Bacteroides,10,296
Psychrobacter,10,200
Thermotoga,10,126
Methylobacterium,10,422
Geobacter,10,294
Flavobacterium,9,244
Pandoraea,9,319
Bradyrhizobium,9,601
Enterococcus,9,188
Paraburkholderia,9,439
Neisseria,9,143
Actinomyces,9,164
Citrobacter,9,318
Thermoanaerobacter,9,143
Legionella,9,208
Prevotella,8,141
Leuconostoc,8,127
Blattabacterium,8,41
Chryseobacterium,8,268
Klebsiella,8,294
Lawsonia,8,8
Marinobacter,8,262
Caldicellulosiruptor,8,133
Acetobacter,8,196
Sulfurospirillum,8,150
Pantoea,8,246
Mesorhizobium,8,340
Alteromonas,8,225
Acidovorax,8,257
Aeromonas,8,250
Sphingopyxis,7,172
Pseudonocardia,7,265
Eubacterium,7,160
Erwinia,7,203
Altererythrobacter,7,140
Chlamydia,7,57
Nocardia,7,363
Edwardsiella,7,202
Cronobacter,7,204
Thermus,7,100
Stenotrophomonas,7,249
Pyrococcus,7,76
Ralstonia,7,295
Hymenobacter,7,236
Weissella,6,75
Haemophilus,6,91
Gordonia,6,226
Methanocaldococcus,6,57
Methanobrevibacter,6,93
Aerococcus,6,92
Janthinobacterium,6,218
Dickeya,6,205
Desulfotomaculum,6,143
Sinorhizobium,6,155
Exiguobacterium,6,117
Listeria,6,106
Nitrosomonas,6,126
Chlorobium,6,102
Cupriavidus,6,255
Brachybacterium,5,138
